# scan = 4
# date = 11/8/2003
# time = 11:03:12 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan sgu -8 8 .4 preset mcu 4
# builtin_command = scan sgu -8 8 .4 preset mcu 4
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.527800,7.527800,3.846800,90.000000,90.000000,120.000000
# ubmatrix = -0.001004,-0.000053,0.259949,-0.132839,-0.132841,-0.001034,0.076692,-0.076696,0.001611
# mode = 0
# plane_normal = -0.006196,0.000009,0.999981
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_110152AM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 4.000000
# def_x = sgu
# def_y = detector
# col_headers = 
#   Pt.        sgu       time   detector    monitor        mcu         m2         s1         s2        sgl        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
     23     0.8005      3.768      8.000  14800.000      4.000    41.2537    71.9272   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     1.0241     0.9757     0.0000    14.6405    14.6392     0.0013   295.0000   294.7680   294.290
     24     1.2000      3.749     19.000  14800.000      4.000    41.2537    71.9272   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     1.0360     0.9635     0.0000    14.6405    14.6392     0.0013   295.0000   294.7670   294.292
     25     1.6000      3.803     39.000  14800.000      4.000    41.2537    71.9272   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     1.0480     0.9513     0.0001    14.6405    14.6392     0.0013   295.0000   294.7670   294.292
     26     2.0005      3.772     83.000  14800.000      4.000    41.2537    71.9272   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     1.0598     0.9390     0.0001    14.6405    14.6392     0.0013   295.0000   294.7710   294.291
     27     2.4000      3.795    157.000  14800.000      4.000    41.2537    71.9272   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     1.0716     0.9266     0.0002    14.6405    14.6392     0.0013   295.0000   294.7710   294.291
     28     2.8005      3.806    190.000  14800.000      4.000    41.2537    71.9272   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     1.0834     0.9142     0.0002    14.6405    14.6392     0.0013   295.0000   294.7670   294.290
     29     3.2000      3.757    259.000  14800.000      4.000    41.2537    71.9272   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     1.0951     0.9018     0.0003    14.6405    14.6392     0.0013   295.0000   294.7670   294.290
     30     3.6005      3.759    344.000  14800.000      4.000    41.2537    71.9272   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     1.1068     0.8893     0.0003    14.6405    14.6392     0.0013   295.0000   294.7660   294.293
     31     4.0010      3.748    430.000  14800.000      4.000    41.2537    71.9272   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     1.1184     0.8767     0.0003    14.6405    14.6392     0.0013   295.0000   294.7740   294.295
     32     4.4000      3.788    505.000  14800.000      4.000    41.2537    71.9272   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     1.1299     0.8642     0.0004    14.6405    14.6392     0.0013   295.0000   294.7740   294.295
     33     4.8010      3.770    556.000  14800.000      4.000    41.2537    71.9272   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     1.1414     0.8516     0.0004    14.6405    14.6392     0.0013   295.0000   294.7680   294.289
     34     5.2000      3.779    529.000  14800.000      4.000    41.2537    71.9272   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     1.1529     0.8389     0.0005    14.6405    14.6392     0.0013   295.0000   294.7680   294.289
     35     5.6000      3.781    601.000  14800.000      4.000    41.2537    71.9272   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     1.1642     0.8262     0.0005    14.6405    14.6392     0.0013   295.0000   294.7650   294.287
     36     6.0005      3.770    565.000  14800.000      4.000    41.2537    71.9272   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     1.1756     0.8135     0.0006    14.6405    14.6392     0.0013   295.0000   294.7650   294.287
     37     6.4005      3.716    496.000  14800.000      4.000    41.2537    71.9272   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     1.1868     0.8007     0.0006    14.6405    14.6392     0.0013   295.0000   294.7740   294.287
     38     6.8005      3.750    424.000  14800.000      4.000    41.2537    71.9272   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     1.1981     0.7879     0.0006    14.6405    14.6392     0.0013   295.0000   294.7720   294.294
     39     7.2005      3.710    331.000  14800.000      4.000    41.2537    71.9272   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     1.2092     0.7750     0.0007    14.6405    14.6392     0.0013   295.0000   294.7720   294.294
     40     7.6005      3.756    273.000  14800.000      4.000    41.2537    71.9272   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     1.2203     0.7622     0.0007    14.6405    14.6392     0.0013   295.0000   294.7720   294.291
     41     8.0005      3.776    176.000  14800.000      4.000    41.2537    71.9272   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     1.2313     0.7492     0.0008    14.6405    14.6392     0.0013   295.0000   294.7720   294.291
# Sum of Counts = 6025
# Center of Mass = 5.165153+/-0.096597
# Full Width Half-Maximum = 3.383421+/-0.081230
# 11:07:16 AM  11/8/2003   scan completed.
