# scan = 344
# date = 11/11/2003
# time = 11:38:20 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan n=20 preset mcu=5
# builtin_command = scan n 20 preset mcu 5
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = hhh (.5,.5,.5) field dependence: base Temp, H = 0 T going down from 3 T
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 5.000000
# def_x = Pt.
# def_y = detector
# col_headers = 
#   Pt.       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1      4.592   3908.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000    42.8050     4.199
      2      4.660   3977.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000    53.1130     4.198
      3      4.595   4034.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000    53.1130     4.198
      4      4.597   3895.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000    68.2170    11.313
      5      4.630   3949.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000    68.2170    11.313
      6      4.623   3756.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000    79.5810    16.665
      7      4.612   3722.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000    79.5810    16.665
      8      4.596   3561.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000    91.2580    20.614
      9      4.605   3500.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000    91.2580    20.614
     10      4.648   3464.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000    91.2580    20.614
     11      4.648   3376.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   100.6380    24.591
     12      4.691   3166.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   100.6380    24.591
     13      4.650   3063.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   109.1660    26.861
     14      4.633   2818.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   109.1660    26.861
     15      4.610   2463.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   117.2110    29.473
     16      4.649   2302.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   117.2110    29.473
     17      4.573   2087.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   124.6730    31.576
     18      4.615   1880.000  18500.000      5.000    41.2537    35.2352   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   290.0000   124.6730    31.576
