# scan = 16
# date = 11/8/2003
# time = 12:30:09 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scanrel s1 4 -4 -.15 preset mcu 2
# builtin_command = scan s1 @(s1)+4 @(s1)+-4 -0.150000
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.527800,7.527800,3.846800,90.000000,90.000000,120.000000
# ubmatrix = -0.007280,-0.005772,0.259630,-0.132677,-0.132684,-0.012771,0.076634,-0.076750,0.002552
# mode = 0
# plane_normal = -0.009826,0.000044,0.999952
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_122137PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 1.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu         m2         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
     23    75.2156      0.939      1.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     1.0000     1.0000    -0.0126    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     24    75.0659      0.939      1.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     1.0000     1.0000    -0.0099    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     25    74.9154      0.927      1.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     1.0000     1.0000    -0.0072    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     26    74.7657      0.939      0.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     1.0000     1.0000    -0.0046    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     27    74.6152      0.924      0.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     1.0000     1.0000    -0.0019    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     28    74.4665      0.942      0.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     1.0000     1.0000     0.0008    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     29    74.3159      0.948      2.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     1.0000     1.0000     0.0035    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     30    74.1673      0.926      0.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     1.0000     1.0000     0.0061    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     31    74.0167      0.934      0.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     1.0000     1.0000     0.0088    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     32    73.8671      0.953      1.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     1.0000     1.0000     0.0115    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     33    73.7165      0.926      1.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9999     0.9999     0.0142    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     34    73.5650      0.974      0.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9999     0.9999     0.0169    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     35    73.4154      0.969      1.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9999     0.9999     0.0195    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     36    73.2667      0.951      1.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9998     0.9998     0.0222    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     37    73.1152      0.939      0.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9997     0.9997     0.0249    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     38    72.9665      0.936      0.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9997     0.9997     0.0275    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     39    72.8169      0.948      2.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9996     0.9996     0.0302    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     40    72.6663      0.940      0.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9995     0.9995     0.0329    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     41    72.5148      0.940      0.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9994     0.9994     0.0356    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     42    72.3671      0.946      1.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9993     0.9993     0.0382    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     43    72.2165      0.918      1.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9992     0.9992     0.0409    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     44    72.0659      0.936      1.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9991     0.9991     0.0436    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     45    71.9154      0.933      1.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9990     0.9990     0.0463    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     46    71.7657      0.948      0.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9989     0.9989     0.0489    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     47    71.6152      0.931      0.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9988     0.9988     0.0516    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     48    71.4646      0.921      1.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9986     0.9986     0.0543    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     49    71.3169      0.953      0.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9985     0.9985     0.0569    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     50    71.1683      0.943      0.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9983     0.9983     0.0596    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     51    71.0148      0.944      0.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9982     0.9982     0.0623    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     52    70.8671      0.937      0.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9980     0.9980     0.0649    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     53    70.7165      0.932      0.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9978     0.9978     0.0676    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     54    70.5659      0.954      2.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9977     0.9977     0.0703    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
# Sum of Counts = 22
# Center of Mass = 73.859373+/-22.274120
# Full Width Half-Maximum = 4.283753+/-10.611881
# 12:32:03 PM  11/8/2003   scan completed.
