# scan = 14
# date = 11/8/2003
# time = 12:15:59 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scanrel s1 4 -4 -.15 preset mcu 2
# builtin_command = scan s1 @(s1)+4 @(s1)+-4 -0.150000
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.527800,7.527800,3.846800,90.000000,90.000000,120.000000
# ubmatrix = -0.001004,-0.000053,0.259949,-0.132839,-0.132841,-0.001034,0.076692,-0.076696,0.001611
# mode = 0
# plane_normal = -0.006196,0.000009,0.999981
# ubconf = 
# preset_type = normal 
# preset_channel = mcu
# preset_value = 1.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu         m2         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
     23   -36.9843      0.944      0.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.0241     0.0241     1.9999    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     24   -37.1348      0.962      0.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.0189     0.0189     1.9999    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     25   -37.2854      0.946      0.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.0138     0.0138     2.0000    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     26   -37.4380      0.962      0.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.0086     0.0086     2.0000    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     27   -37.5856      0.963      1.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.0035     0.0035     2.0000    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     28   -37.7362      0.967      0.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667    -0.0016    -0.0016     2.0000    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     29   -37.8858      0.957      1.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667    -0.0067    -0.0067     2.0000    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     30   -38.0364      0.936      0.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667    -0.0119    -0.0119     2.0000    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     31   -38.1850      0.935      0.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667    -0.0169    -0.0169     1.9999    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     32   -38.3356      0.929      0.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667    -0.0221    -0.0221     1.9999    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     33   -38.4852      0.929      1.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667    -0.0272    -0.0272     1.9998    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     34   -38.6348      0.948      0.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667    -0.0323    -0.0323     1.9997    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     35   -38.7835      0.929      0.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667    -0.0374    -0.0374     1.9997    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     36   -38.9360      0.918      0.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667    -0.0426    -0.0426     1.9995    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     37   -39.0856      0.944      0.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667    -0.0477    -0.0477     1.9994    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     38   -39.1890      0.000      0.000      0.000      0.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667    -0.0512    -0.0512     1.9993    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
# Sum of Counts = 355
# Center of Mass = -35.139970+/-2.637627
# Full Width Half-Maximum = 0.714464+/-0.881446
# 12:17:22 PM  11/8/2003   scan stopped!!
