# scan = 341
# date = 11/11/2003
# time = 11:27:19 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan n=40 preset mcu=2
# builtin_command = scan n 40 preset mcu 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 00l scan, base temp, H = 3 T
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = Pt.
# def_y = detector
# col_headers = 
#   Pt.       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1      1.849   1619.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2286     4.188
      2      1.813   1596.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2286     4.188
      3      1.864   1633.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2264     4.188
      4      1.839   1617.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2264     4.188
      5      1.851   1603.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2264     4.188
      6      1.812   1575.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2264     4.188
      7      1.904   1745.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2264     4.188
      8      1.810   1590.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2277     4.195
      9      1.810   1561.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2277     4.195
     10      1.842   1562.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2277     4.195
     11      1.849   1692.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2277     4.195
     12      1.842   1599.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2277     4.195
     13      1.828   1571.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2233     4.188
     14      1.806   1569.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2233     4.188
     15      1.812   1522.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2233     4.188
     16      1.847   1608.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2233     4.188
     17      1.830   1570.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2233     4.188
     18      1.889   1570.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2275     4.194
     19      1.856   1580.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2275     4.194
     20      1.875   1557.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2275     4.194
     21      1.837   1597.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2275     4.194
     22      1.882   1636.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2275     4.194
     23      1.831   1548.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2264     4.189
     24      1.889   1621.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2264     4.189
     25      1.859   1593.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2264     4.189
     26      1.885   1598.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2264     4.189
     27      1.889   1631.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2264     4.189
     28      1.833   1591.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2263     4.191
     29      1.819   1550.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2263     4.191
     30      1.815   1581.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2263     4.191
     31      1.856   1602.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2263     4.191
     32      1.860   1633.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2263     4.191
     33      1.882   1553.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2263     4.190
     34      1.853   1626.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2263     4.190
     35      1.866   1609.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2263     4.190
     36      1.873   1660.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2263     4.190
     37      1.873   1568.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2263     4.190
     38      1.875   1697.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2272     4.192
     39      1.821   1619.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2272     4.192
     40      1.857   1601.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2272     4.192
     41      1.892   1584.000   7400.000      2.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2272     4.192
# Sum of Counts = 65637
# Center of Mass = 21.003885+/-0.124861
# Full Width Half-Maximum = 23.745729+/-0.086721
# 11:28:41 AM  11/11/2003   scan completed.
