# scan = 340
# date = 11/11/2003
# time = 11:26:22 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan n=40
# builtin_command = scan n 40
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 00l scan, base temp, H = 3 T
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554053,7.554053,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.129577,-0.134798,-0.010795,0.080912,-0.071857,-0.000073
# mode = 0
# plane_normal = 0.001702,0.034158,0.999415
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_64050PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 1.000000
# def_x = Pt.
# def_y = detector
# col_headers = 
#   Pt.       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
     23      0.913    831.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2261     4.182
     24      0.906    765.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2261     4.182
     25      0.934    808.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2261     4.182
     26      0.894    820.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2261     4.182
     27      0.905    810.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2261     4.182
     28      0.934    817.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2261     4.182
     29      0.887    709.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2261     4.182
     30      0.916    754.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2292     4.188
     31      0.947    811.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2292     4.188
     32      0.916    810.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2292     4.188
     33      0.949    843.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2292     4.188
     34      0.930    803.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2292     4.188
     35      0.943    836.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2292     4.188
     36      0.927    766.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2292     4.188
     37      0.955    846.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2292     4.188
     38      0.936    782.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2292     4.188
     39      0.940    839.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2262     4.187
     40      0.911    800.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2262     4.187
     41      0.943    779.000   3700.000      1.000    41.2537    35.2362   -25.3345    -0.0975     1.9545     1.0050    -3.9990    20.6267    41.2566     1.1657     0.5001     0.5002     0.4999    14.6405    14.6385     0.0020   295.0000     4.2262     4.187
# Sum of Counts = 33031
# Center of Mass = 20.927946+/-0.175447
# Full Width Half-Maximum = 23.730850+/-0.122157
# 11:27:06 AM  11/11/2003   scan completed.
