# scan = 238
# date = 11/10/2003
# time = 6:33:00 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan sgu -4 4 .4
# builtin_command = scan sgu -4 4 .4
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = looking for relflections, 220 and 002
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.846679,90.000000,90.000000,120.000000
# ubmatrix = -0.005362,-0.005623,0.259740,-0.130196,-0.134243,-0.010794,0.079914,-0.072892,-0.000156
# mode = 0
# plane_normal = 0.001702,0.026473,0.999613
# ubconf = C:\User\exp41\UBConf\UB10Nov2003_63100PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 1.000000
# def_x = sgu
# def_y = detector
# col_headers = 
#   Pt.        sgu       time   detector    monitor        mcu         m2         s1         s2        sgl        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    -4.0000      0.937      0.000   3700.000      1.000    41.2537    53.6339   -77.4851    -0.0975     1.0040    -3.9990    20.6266    41.2566     3.3269     1.6579     2.3234    -0.0001    14.6405    14.6385     0.0020   295.0000     4.2343     4.808
      2    -3.6000      0.910      0.000   3700.000      1.000    41.2537    53.6289   -77.4881    -0.0975     1.0040    -3.9990    20.6266    41.2566     3.3270     1.6833     2.3007     0.0001    14.6405    14.6385     0.0020   295.0000     4.2343     4.808
      3    -3.1995      0.905      0.000   3700.000      1.000    41.2537    53.6289   -77.4881    -0.0975     1.0040    -3.9990    20.6266    41.2566     3.3270     1.7086     2.2778     0.0001    14.6405    14.6385     0.0020   295.0000     4.2277     4.813
      4    -2.7995      0.912      0.000   3700.000      1.000    41.2537    53.6289   -77.4881    -0.0975     1.0040    -3.9990    20.6266    41.2566     3.3270     1.7338     2.2548     0.0001    14.6405    14.6385     0.0020   295.0000     4.2277     4.813
      5    -2.3995      0.941      0.000   3700.000      1.000    41.2537    53.6299   -77.4881    -0.0975     1.0040    -3.9990    20.6266    41.2566     3.3270     1.7589     2.2317     0.0001    14.6405    14.6385     0.0020   295.0000     4.2277     4.813
      6    -1.9995      0.941      0.000   3700.000      1.000    41.2537    53.6299   -77.4881    -0.0975     1.0040    -3.9990    20.6266    41.2566     3.3270     1.7839     2.2085     0.0001    14.6405    14.6385     0.0020   295.0000     4.2277     4.813
      7    -1.5995      0.956      0.000   3700.000      1.000    41.2537    53.6299   -77.4881    -0.0975     1.0040    -3.9990    20.6266    41.2566     3.3270     1.8088     2.1852     0.0001    14.6405    14.6385     0.0020   295.0000     4.2457     4.812
      8    -1.1995      0.944      0.000   3700.000      1.000    41.2537    53.6299   -77.4881    -0.0975     1.0040    -3.9990    20.6266    41.2566     3.3270     1.8337     2.1617     0.0001    14.6405    14.6385     0.0020   295.0000     4.2457     4.812
      9    -0.7990      0.922      0.000   3700.000      1.000    41.2537    53.6309   -77.4881    -0.0975     1.0040    -3.9990    20.6266    41.2566     3.3270     1.8584     2.1382     0.0001    14.6405    14.6385     0.0020   295.0000     4.2457     4.812
     10    -0.4005      0.938      2.000   3700.000      1.000    41.2537    53.6309   -77.4881    -0.0975     1.0040    -3.9990    20.6266    41.2566     3.3270     1.8830     2.1146     0.0001    14.6405    14.6385     0.0020   295.0000     4.2360     4.805
     11     0.0000      0.900     12.000   3700.000      1.000    41.2537    53.6309   -77.4881    -0.0975     1.0040    -3.9990    20.6266    41.2566     3.3270     1.9076     2.0909     0.0001    14.6405    14.6385     0.0020   295.0000     4.2360     4.805
     12     0.4000      0.938     41.000   3700.000      1.000    41.2537    53.6309   -77.4881    -0.0975     1.0040    -3.9990    20.6266    41.2566     3.3270     1.9321     2.0670     0.0001    14.6405    14.6385     0.0020   295.0000     4.2360     4.805
