# scan = 58
# date = 9/5/2017
# time = 9:28:06 PM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scanrel s1 2 -2 0.2
# builtin_command = scan s1 @(s1)+2 @(s1)+-2 0.200000
# users = Paula Kelley
# local_contact = 
# scan_title = CCR RT alignment check
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.975000,5.975000,17.000000,90.000000,90.000000,120.000000
# ubmatrix = 0.006534,0.003269,-0.058790,0.193145,0.096572,0.001989,0.000000,-0.167364,-0.000001
# mode = 0
# plane_normal = -0.000009,0.000000,1.000000
# ubconf = UB05Sep2017_35319PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbb        bbl        bbr        bbt         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e   cold_tip    tsample       temp
     14    26.4002      1.000  79571.000  14126.000      5.379    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    49.2131     0.0005     0.0000    -0.0010    -0.0010   159.4104   -41.1799     2.2177    -0.0053     0.0000     6.0004    14.7005    14.6907     0.0098   295.8220   296.7140     1.000
     15    26.2003      1.000  55315.000  14038.000      5.346    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    49.2131     0.0005     0.0000    -0.0010    -0.0010   159.4104   -41.1799     2.2177    -0.0116     0.0000     6.0003    14.7005    14.6907     0.0098   295.8210   296.7040     1.000
     16    26.0003      1.000  29725.000  13943.000      5.310    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    49.2131     0.0005     0.0000    -0.0010    -0.0010   159.4104   -41.1799     2.2177    -0.0180     0.0000     6.0001    14.7005    14.6907     0.0098   295.8200   296.6930     1.000
     17    25.8003      1.000  16359.000  13972.000      5.321    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    49.2131     0.0005     0.0000    -0.0010    -0.0010   159.4104   -41.1799     2.2177    -0.0244     0.0000     5.9999    14.7005    14.6907     0.0098   295.8210   296.7200     1.000
     18    25.6002      1.000  10538.000  14149.000      5.388    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    49.2131     0.0005     0.0000    -0.0010    -0.0010   159.4104   -41.1799     2.2177    -0.0308     0.0000     5.9995    14.7005    14.6907     0.0098   295.8220   296.7430     1.000
     19    25.4002      1.000   8235.000  14034.000      5.344    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    49.2131     0.0005     0.0000    -0.0010    -0.0010   159.4104   -41.1799     2.2177    -0.0371     0.0000     5.9992    14.7005    14.6907     0.0098   295.8200   296.6990     1.000
     20    25.2003      1.000   6739.000  13881.000      5.286    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    49.2131     0.0005     0.0000    -0.0010    -0.0010   159.4104   -41.1799     2.2177    -0.0435     0.0000     5.9987    14.7005    14.6907     0.0098   295.8210   296.7250     1.000
     21    25.0003      1.000   5474.000  13673.000      5.207    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    49.2131     0.0005     0.0000    -0.0010    -0.0010   159.4104   -41.1799     2.2177    -0.0499     0.0000     5.9982    14.7005    14.6907     0.0098   295.8210   296.7260     1.000
# Sum of Counts = 949165
# Center of Mass = 27.143941+/-0.039412
# Full Width Half-Maximum = 1.721635+/-0.015554
# 9:28:52 PM  9/5/2017   scan completed.
