# scan = 105
# date = 9/6/2017
# time = 10:23:52 AM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scanrel a2 -3 3 .2
# builtin_command = scan a2 @(a2)+-3 @(a2)+3 0.200000
# users = Paula Kelley
# local_contact = 
# scan_title = Check 1 0 -2 Bragg peak
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.166730,5.166730,16.945400,90.000000,90.000000,120.000000
# ubmatrix = 0.008357,-0.002576,-0.058936,0.221199,0.137518,0.001900,0.030791,-0.176151,0.002345
# mode = 0
# plane_normal = 0.034899,-0.139079,0.989661
# ubconf = UB05Sep2017_111606PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 1.000000
# def_x = a2
# def_y = detector
# col_headers = 
#   Pt.         a2       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbb        bbl        bbr        bbt         s1         s2        sgl        sgu        stl        stu         a1          q          h          k          l         ei         ef          e   cold_tip    tsample       temp
     14    -0.4000      1.367   8082.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8302    49.3780     0.0000     0.0000    -0.0010    -0.0010    89.9995   266.5177   154.6485    31.0477   301.5873    14.7001 149099.5556 -149084.8555     1.0000     1.0000    10.000
     15    -0.2000      1.376   9116.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8302    49.3780     0.0000     0.0000    -0.0010    -0.0010    89.9995   534.7317   310.8703    62.3297   600.1139    14.7001 596339.7546 -596325.0544     1.0000     1.0000    10.000
     16    -0.0000      1.395   9734.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8302    49.3780     0.0000     0.0000    -0.0010    -0.0010    89.9995     2.2250    -0.0373     0.0733     5.9960    14.7001    14.7001     0.0000     1.0000     1.0000    10.000
     17     0.2000      1.378   9354.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8302    49.3780     0.0000     0.0000    -0.0010    -0.0010    89.9995   534.8336   310.9296    62.3416   600.2273    14.7001 596566.4065 -596551.7064     1.0000     1.0000    10.000
     18     0.4000      1.400   8763.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8302    49.3780     0.0000     0.0000    -0.0010    -0.0010    89.9995   266.5432   154.6633    31.0507   301.6157    14.7001 149127.8871 -149113.1870     1.0000     1.0000    10.000
     19     0.6000      1.378   7666.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8302    49.3780     0.0000     0.0000    -0.0010    -0.0010    89.9995   177.1215   102.5780    20.6211   202.0850    14.7001 66277.2985 -66262.5984     1.0000     1.0000    10.000
     20     0.8000      1.395   6655.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8302    49.3780     0.0000     0.0000    -0.0010    -0.0010    89.9995   132.4138    76.5360    15.4064   152.3210    14.7001 37280.6551 -37265.9550     1.0000     1.0000    10.000
     21     1.0000      1.382   5168.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8302    49.3780     0.0000     0.0000    -0.0010    -0.0010    89.9995   105.5912    60.9111    12.2777   122.4631    14.7001 23859.6106 -23844.9105     1.0000     1.0000    10.000
     22     1.2000      1.394   4009.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8302    49.3780     0.0000     0.0000    -0.0010    -0.0010    89.9995    87.7110    50.4946    10.1919   102.5581    14.7001 16569.2542 -16554.5540     1.0000     1.0000    10.000
     23     1.4000      1.412   2924.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8302    49.3780     0.0000     0.0000    -0.0010    -0.0010    89.9995    74.9408    43.0543     8.7020    88.3404    14.7001 12173.4352 -12158.7351     1.0000     1.0000    10.000
     24     1.6000      1.380   1832.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8302    49.3780     0.0000     0.0000    -0.0010    -0.0010    89.9995    65.3642    37.4742     7.5846    77.6772    14.7001  9320.3967 -9305.6965     1.0000     1.0000    10.000
     25     1.8000      1.380    924.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8302    49.3780     0.0000     0.0000    -0.0010    -0.0010    89.9995    57.9168    33.1341     6.7156    69.3837    14.7001  7364.3717 -7349.6716     1.0000     1.0000    10.000
     26     2.0000      1.398    406.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8302    49.3780     0.0000     0.0000    -0.0010    -0.0010    89.9995    51.9597    29.6621     6.0203    62.7490    14.7001  5965.2436 -5950.5435     1.0000     1.0000    10.000
     27     2.2000      1.411    135.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8302    49.3780     0.0000     0.0000    -0.0010    -0.0010    89.9995    47.0866    26.8214     5.4515    57.3207    14.7001  4930.0500 -4915.3499     1.0000     1.0000    10.000
     28     2.4000      1.398     79.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8302    49.3780     0.0000     0.0000    -0.0010    -0.0010    89.9995    43.0264    24.4542     4.9775    52.7971    14.7001  4142.7022 -4128.0021     1.0000     1.0000    10.000
     29     2.6000      1.410     54.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8302    49.3780     0.0000     0.0000    -0.0010    -0.0010    89.9995    39.5916    22.4512     4.5764    48.9696    14.7001  3529.9618 -3515.2616     1.0000     1.0000    10.000
     30     2.8000      1.388     38.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8302    49.3780     0.0000     0.0000    -0.0010    -0.0010    89.9995    36.6481    20.7344     4.2326    45.6888    14.7001  3043.7718 -3029.0717     1.0000     1.0000    10.000
     31     3.0000      1.397     51.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8302    49.3780     0.0000     0.0000    -0.0010    -0.0010    89.9995    34.0977    19.2465     3.9347    42.8456    14.7001  2651.5391 -2636.8390     1.0000     1.0000    10.000
# Sum of Counts = 101909
# Center of Mass = 0.027905+/-0.002635
# Full Width Half-Maximum = 1.680598+/-0.005263
# 10:25:05 AM  9/6/2017   scan completed.
