# scan = 37
# date = 9/5/2017
# time = 3:22:44 PM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scan sgl -10 10 1
# builtin_command = scan sgl -10 10 1
# users = Paula Kelley
# local_contact = 
# scan_title = Co-alignment on post RT 0 0 6 position
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.975000,5.975000,17.000000,90.000000,90.000000,120.000000
# ubmatrix = -0.008953,-0.004477,-0.058760,0.193048,0.096524,-0.002725,0.000000,-0.167364,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = UB05Sep2017_23318PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = sgl
# def_y = detector
# col_headers = 
#   Pt.        sgl       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbb        bbl        bbr        bbt         s1         s2        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e   cold_tip    tsample       temp
     14     3.0005      1.000  46875.000  13665.000      5.204    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.2003    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.1431     0.1101     5.9552    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
     15     4.0005      1.000  27459.000  13806.000      5.257    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.2003    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.1247     0.1468     5.9488    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
     16     5.0005      1.000  10255.000  13552.000      5.161    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.2003    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.1063     0.1834     5.9406    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
     17     6.0005      1.000   3642.000  13526.000      5.151    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.2003    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.0879     0.2200     5.9306    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
     18     7.0005      1.000    857.000  13331.000      5.077    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.2003    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.0694     0.2565     5.9188    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
     19     8.0005      1.000    470.000  13617.000      5.185    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.2003    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.0510     0.2929     5.9052    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
     20     9.0005      1.000    435.000  13586.000      5.174    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.2003    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.0327     0.3292     5.8897    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
     21    10.0005      1.000    413.000  13584.000      5.173    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.2003    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.0143     0.3654     5.8725    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
# Sum of Counts = 923920
# Center of Mass = -1.402883+/-0.003674
# Full Width Half-Maximum = 5.842918+/-0.006036
# 3:24:12 PM  9/5/2017   scan completed.
