# scan = 104
# date = 9/6/2017
# time = 9:49:59 AM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scanrel s1 3 -3 0.3
# builtin_command = scan s1 @(s1)+3 @(s1)+-3 0.300000
# users = Paula Kelley
# local_contact = 
# scan_title = Check 1 0 -2 Bragg peak
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.166730,5.166730,16.945400,90.000000,90.000000,120.000000
# ubmatrix = 0.008357,-0.002576,-0.058936,0.221199,0.137518,0.001900,0.030791,-0.176151,0.002345
# mode = 0
# plane_normal = 0.034899,-0.139079,0.989661
# ubconf = UB05Sep2017_111606PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 1.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbb        bbl        bbr        bbt         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e   cold_tip    tsample       temp
     14    25.9303      0.959  26867.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    49.3782    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     2.2247    -0.0255     0.0000     5.9991    14.7001    14.6907     0.0094    10.1180    10.7990    10.000
     15    25.6300      0.957  12570.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    49.3782    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     2.2247    -0.0338     0.0000     5.9985    14.7001    14.6907     0.0094    10.0800    10.8050    10.000
     16    25.3302      0.987   8732.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    49.3782    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     2.2247    -0.0421     0.0000     5.9978    14.7001    14.6907     0.0094    10.0410    10.8130    10.000
     17    25.0302      0.973   6588.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    49.3782    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     2.2247    -0.0504     0.0000     5.9969    14.7001    14.6907     0.0094    10.1380    10.8170    10.000
     18    24.7303      0.971   5311.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    49.3782    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     2.2247    -0.0587     0.0000     5.9958    14.7001    14.6907     0.0094    10.0870    10.8190    10.000
     19    24.4300      0.980   4473.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    49.3782    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     2.2247    -0.0670     0.0000     5.9945    14.7001    14.6907     0.0094    10.0420    10.8210    10.000
     20    24.1301      0.971   3888.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    49.3782    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     2.2247    -0.0753     0.0000     5.9931    14.7001    14.6907     0.0094     9.9912    10.8190    10.000
     21    23.8302      0.973   3543.000  13935.000      1.000    66.7975   -22.2454   -41.1660   119.9771     2.6000    -2.0000   -34.2897    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    49.3782    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     2.2247    -0.0836     0.0000     5.9915    14.7001    14.6907     0.0094    10.0160    10.8120    10.000
# Sum of Counts = 689041
# Center of Mass = 27.021995+/-0.046051
# Full Width Half-Maximum = 1.842731+/-0.017808
# 9:50:49 AM  9/6/2017   scan completed.
