# scan = 22
# date = 9/5/2017
# time = 2:29:27 PM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scan sgu -10 10 1
# builtin_command = scan sgu -10 10 1
# users = Paula Kelley
# local_contact = 
# scan_title = Co-Alignment on post RT 3 0 0 postion
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.975000,5.975000,17.000000,90.000000,90.000000,120.000000
# ubmatrix = -0.193255,-0.096628,0.000000,-0.000000,0.000000,-0.058824,0.000000,-0.167364,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = UB05Sep2017_10850PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = sgu
# def_y = detector
# col_headers = 
#   Pt.        sgu       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbb        bbl        bbr        bbt         s1         s2        sgl        stl        stu         a1         a2          q          h          k          l         ei         ef          e   cold_tip    tsample       temp
      1   -10.0000      1.000    263.000  13403.000      5.104    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000   128.1001    86.2904     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423     0.5639    -0.5991    -9.6673    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      2    -8.9995      1.000   1755.000  13640.000      5.194    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000   128.1001    86.2904     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423     0.5342    -0.5397    -9.6956    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      3    -7.9995      1.000   4335.000  13517.000      5.147    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000   128.1001    86.2904     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423     0.5044    -0.4801    -9.7209    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      4    -6.9995      1.000   5988.000  13477.000      5.132    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000   128.1001    86.2904     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423     0.4745    -0.4204    -9.7433    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      5    -5.9995      1.000   7375.000  13464.000      5.127    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000   128.1001    86.2904     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423     0.4446    -0.3606    -9.7627    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      6    -4.9995      1.000  14624.000  13601.000      5.179    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000   128.1001    86.2904     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423     0.4147    -0.3007    -9.7791    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      7    -3.9995      1.000  45411.000  13591.000      5.176    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000   128.1001    86.2904     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423     0.3846    -0.2406    -9.7925    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      8    -2.9995      1.000  72842.000  13599.000      5.179    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000   128.1001    86.2904     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423     0.3546    -0.1805    -9.8030    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      9    -1.9995      1.000  89719.000  13678.000      5.209    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000   128.1001    86.2904     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423     0.3245    -0.1204    -9.8104    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
     10    -0.9995      1.000 101053.000  13725.000      5.227    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000   128.1001    86.2904     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423     0.2944    -0.0602    -9.8149    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
