# scan = 74
# date = 9/5/2017
# time = 10:53:03 PM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scan sgl -10 10 1
# builtin_command = scan sgl -10 10 1
# users = Paula Kelley
# local_contact = 
# scan_title = alignment while cooling 0 0 6 peak
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.975000,5.975000,17.000000,90.000000,90.000000,120.000000
# ubmatrix = 0.007997,-0.001843,-0.058737,0.192379,0.110766,0.002248,0.016549,-0.158351,0.002256
# mode = 0
# plane_normal = 0.034900,-0.087094,0.995588
# ubconf = UB05Sep2017_95742PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = sgl
# def_y = detector
# col_headers = 
#   Pt.        sgl       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbb        bbl        bbr        bbt         s1         s2        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e   cold_tip    tsample       temp
     14     3.0005      1.000  62975.000  14061.000      5.355    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8003    49.2005    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.0977     0.1836     5.9761    14.7002    14.6907     0.0095    58.4330    94.8120     1.000
     15     4.0005      1.000  32524.000  14111.000      5.374    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8003    49.2005    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.1159     0.2203     5.9661    14.7002    14.6907     0.0095    58.1520    94.2060     1.000
     16     5.0005      1.000   8577.000  13855.000      5.276    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8001    49.2005    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.1340     0.2568     5.9542    14.7002    14.6907     0.0095    57.8900    94.2420     1.000
     17     6.0005      1.000   3619.000  13707.000      5.220    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8001    49.2005    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.1521     0.2932     5.9406    14.7002    14.6907     0.0095    57.6060    93.9140     1.000
     18     7.0005      1.000   1762.000  13795.000      5.253    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8001    49.2005    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.1700     0.3296     5.9251    14.7002    14.6907     0.0095    57.3100    93.4520     1.000
     19     8.0005      1.000    853.000  13840.000      5.270    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8001    49.2005    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.1880     0.3659     5.9079    14.7002    14.6907     0.0095    57.0100    92.7870     1.000
     20     9.0005      1.000    580.000  13943.000      5.310    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8001    49.2005    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.2058     0.4020     5.8888    14.7002    14.6907     0.0095    56.7450    92.6300     1.000
     21    10.0005      1.000    501.000  14069.000      5.358    66.7975   -22.2454   -41.1659   119.9771     2.6000    -2.0000   -34.2897    25.0000    15.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    26.8001    49.2005    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     2.2172    -0.2235     0.4381     5.8680    14.7002    14.6907     0.0095    56.4540    92.2350     1.000
# Sum of Counts = 1317747
# Center of Mass = -2.663969+/-0.004559
# Full Width Half-Maximum = 7.266346+/-0.006090
# 10:54:31 PM  9/5/2017   scan completed.
