# scan = 50
# date = 9/5/2017
# time = 3:58:10 PM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scan sgl -10 10 1
# builtin_command = scan sgl -10 10 1
# users = Paula Kelley
# local_contact = 
# scan_title = Co-alignment Zeus and Atlas on post RT 0 0 6 position
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.975000,5.975000,17.000000,90.000000,90.000000,120.000000
# ubmatrix = 0.006534,0.003269,-0.058790,0.193145,0.096572,0.001989,0.000000,-0.167364,-0.000001
# mode = 0
# plane_normal = -0.000009,0.000000,1.000000
# ubconf = UB05Sep2017_35319PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = sgl
# def_y = detector
# col_headers = 
#   Pt.        sgl       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbb        bbl        bbr        bbt         s1         s2        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e   cold_tip    tsample       temp
     14     3.0005      1.000  55344.000  13646.000      5.196    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    27.0003    49.2058     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2174    -0.0411     0.1103     5.9912    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
     15     4.0005      1.000  26858.000  13490.000      5.137    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    27.0003    49.2058     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2174    -0.0593     0.1470     5.9848    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
     16     5.0005      1.000   8332.000  13498.000      5.140    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    27.0003    49.2058     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2174    -0.0776     0.1836     5.9766    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
     17     6.0005      1.000   3147.000  13524.000      5.150    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    27.0003    49.2058     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2174    -0.0958     0.2202     5.9666    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
     18     7.0005      1.000    946.000  13646.000      5.196    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    27.0003    49.2058     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2174    -0.1139     0.2568     5.9547    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
     19     8.0005      1.000    595.000  13539.000      5.156    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    27.0003    49.2058     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2174    -0.1320     0.2932     5.9411    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
     20     9.0005      1.000    492.000  13563.000      5.165    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    27.0003    49.2058     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2174    -0.1500     0.3296     5.9256    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
     21    10.0005      1.000    469.000  13544.000      5.158    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    27.0003    49.2058     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2174    -0.1680     0.3659     5.9084    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
# Sum of Counts = 1109567
# Center of Mass = -1.724232+/-0.003702
# Full Width Half-Maximum = 6.086943+/-0.005683
# 3:59:40 PM  9/5/2017   scan completed.
