# scan = 61
# date = 9/5/2017
# time = 9:56:43 PM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scanrel s1 2 -2 0.2
# builtin_command = scan s1 @(s1)+2 @(s1)+-2 0.200000
# users = Paula Kelley
# local_contact = 
# scan_title = CCR RT alignment check
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.975000,5.975000,17.000000,90.000000,90.000000,120.000000
# ubmatrix = 0.007997,-0.001843,-0.058737,0.192379,0.110766,0.002248,0.016549,-0.158351,0.002256
# mode = 0
# plane_normal = 0.034894,-0.087080,0.995426
# ubconf = UB05Sep2017_95616PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbb        bbl        bbr        bbt         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e   cold_tip    tsample       temp
     14   133.9000      1.000   6972.000  14128.000      5.380    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    86.3034    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6427     2.9988     0.0000     0.2812    14.7005    14.6907     0.0098   247.4680   271.3600     1.000
     15   133.7000      1.000   5634.000  13992.000      5.328    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    86.3034    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6427     2.9984     0.0000     0.3156    14.7005    14.6907     0.0098   247.3640   271.2640     1.000
     16   133.5000      1.000   4720.000  13945.000      5.310    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    86.3034    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6427     2.9981     0.0000     0.3500    14.7005    14.6907     0.0098   247.2610   271.1750     1.000
     17   133.3000      1.000   4373.000  13959.000      5.316    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    86.3034    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6427     2.9977     0.0000     0.3844    14.7005    14.6907     0.0098   247.1580   271.0760     1.000
     18   133.1000      1.000   4172.000  14245.000      5.425    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    86.3034    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6427     2.9973     0.0000     0.4187    14.7005    14.6907     0.0098   247.0560   271.0210     1.000
     19   132.9000      1.000   3546.000  13796.000      5.254    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    86.3034    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6427     2.9968     0.0000     0.4531    14.7005    14.6907     0.0098   246.9520   270.9230     1.000
     20   132.7000      1.000   3089.000  14108.000      5.372    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    86.3034    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6427     2.9963     0.0000     0.4875    14.7005    14.6907     0.0098   246.8470   270.8200     1.000
     21   132.5000      1.000   2748.000  14057.000      5.353    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    39.0000    30.0000    30.0000    39.0000    86.3034    -2.0000    -4.9995    -0.0010    -0.0010   159.4104   -41.1799     3.6427     2.9958     0.0000     0.5218    14.7005    14.6907     0.0098   246.7470   270.7650     1.000
# Sum of Counts = 649586
# Center of Mass = 135.372213+/-0.237536
# Full Width Half-Maximum = 1.412715+/-0.086265
# 9:57:28 PM  9/5/2017   scan completed.
