# scan = 19
# date = 9/5/2017
# time = 2:16:27 PM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scanrel s1 10 -10 1
# builtin_command = scan s1 @(s1)+10 @(s1)+-10 1.000000
# users = Paula Kelley
# local_contact = 
# scan_title = Co-Alignment on post RT 3 0 0 postion
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.975000,5.975000,17.000000,90.000000,90.000000,120.000000
# ubmatrix = -0.193255,-0.096628,0.000000,-0.000000,0.000000,-0.058824,0.000000,-0.167364,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = UB05Sep2017_10850PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbb        bbl        bbr        bbt         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e   cold_tip    tsample       temp
      1   137.0002      1.000   2183.000  14072.000      5.359    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    86.2904     0.0000    -1.9995    -0.0010     0.0000   159.4104   -41.1799     3.6423    -0.1408    -0.1206    -9.8266    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      2   136.0001      1.000   3713.000  13991.000      5.328    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    86.2904     0.0000    -1.9995    -0.0010     0.0000   159.4104   -41.1799     3.6423    -0.0885    -0.1207    -9.8366    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      3   135.0000      1.000   4353.000  13923.000      5.302    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    86.2904     0.0000    -1.9995    -0.0010     0.0000   159.4104   -41.1799     3.6423    -0.0362    -0.1208    -9.8436    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      4   134.0000      1.000  15614.000  13724.000      5.226    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    86.2904     0.0000    -1.9995    -0.0010     0.0000   159.4104   -41.1799     3.6423     0.0162    -0.1208    -9.8477    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      5   133.0000      1.000  92911.000  14084.000      5.363    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    86.2904     0.0000    -1.9995    -0.0010     0.0000   159.4104   -41.1799     3.6423     0.0686    -0.1208    -9.8487    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      6   132.0000      1.000  51640.000  13975.000      5.322    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    86.2904     0.0000    -1.9995    -0.0010     0.0000   159.4104   -41.1799     3.6423     0.1209    -0.1208    -9.8467    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      7   131.0000      1.000  37418.000  13922.000      5.302    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    86.2904     0.0000    -1.9995    -0.0010     0.0000   159.4104   -41.1799     3.6423     0.1732    -0.1208    -9.8418    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      8   130.0000      1.000  67044.000  13937.000      5.307    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    86.2904     0.0000    -1.9995    -0.0010     0.0000   159.4104   -41.1799     3.6423     0.2254    -0.1207    -9.8338    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      9   129.0000      1.000   7401.000  13739.000      5.232    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    86.2904     0.0000    -1.9995    -0.0010     0.0000   159.4104   -41.1799     3.6423     0.2776    -0.1205    -9.8229    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
     10   128.0000      1.000  13220.000  13796.000      5.254    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    86.2904     0.0000    -1.9995    -0.0010     0.0000   159.4104   -41.1799     3.6423     0.3297    -0.1204    -9.8089    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
     11   127.0000      1.000   2231.000  13879.000      5.285    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    86.2904     0.0000    -1.9995    -0.0010     0.0000   159.4104   -41.1799     3.6423     0.3817    -0.1202    -9.7920    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
