# scan = 89
# date = 9/6/2017
# time = 4:38:01 AM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scan h 0 -1 0.1 k 0 l 5 e 18    
# builtin_command = scan h 0 -1 0.1 k 0 l 5 e 18
# users = Paula Kelley
# local_contact = 
# scan_title = T=10K const-E scan at 18 meV
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.166730,5.166730,16.945400,90.000000,90.000000,120.000000
# ubmatrix = 0.008357,-0.002576,-0.058936,0.221199,0.137518,0.001900,0.030791,-0.176151,0.002345
# mode = 0
# plane_normal = 0.034899,-0.139079,0.989661
# ubconf = UB05Sep2017_111606PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 600.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l          e       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbb        bbl        bbr        bbt         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef   cold_tip    tsample       temp
      1    -0.0003     0.0000     5.0024    18.0095    486.601   1067.000 8360161.000    600.000    44.7863   -22.2454   -27.2677   119.9771     2.6000    -2.0000   -52.5081    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    57.5400    23.2958    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.8548    32.7002    14.6907    10.0560    10.6350    10.000
      2    -0.1003     0.0000     5.0026    18.0095    486.361   1125.000 8360162.000    600.000    44.7863   -22.2454   -27.2677   119.9771     2.6000    -2.0000   -52.5081    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    53.1060    23.4330    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.8603    32.7002    14.6907    10.2570    10.8800    10.000
      3    -0.2004     0.0000     5.0023    18.0095    486.643   1126.000 8360161.000    600.000    44.7863   -22.2454   -27.2677   119.9771     2.6000    -2.0000   -52.5081    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    48.5255    23.8312    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.8760    32.7002    14.6907     9.9281    10.6430    10.000
      4    -0.3005     0.0000     5.0021    18.0095    486.335   1170.000 8360161.000    600.000    44.7863   -22.2454   -27.2677   119.9771     2.6000    -2.0000   -52.5081    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    43.8685    24.4834    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.9021    32.7002    14.6907    10.0060    10.6290    10.000
      5    -0.4005     0.0000     5.0020    18.0095    486.795   1195.000 8360161.000    600.000    44.7863   -22.2454   -27.2677   119.9771     2.6000    -2.0000   -52.5081    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    39.2126    25.3710    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.9381    32.7002    14.6907     9.9517    10.6240    10.000
      6    -0.5006     0.0000     5.0020    18.0095    486.563   1170.000 8360161.000    600.000    44.7863   -22.2454   -27.2677   119.9771     2.6000    -2.0000   -52.5081    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    34.6316    26.4725    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     1.9834    32.7002    14.6907     9.9979    10.7310    10.000
      7    -0.6006     0.0000     5.0017    18.0095    486.732   1152.000 8360161.000    600.000    44.7863   -22.2454   -27.2677   119.9771     2.6000    -2.0000   -52.5081    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    30.1920    27.7605    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     2.0373    32.7002    14.6907     9.9425    10.6460    10.000
      8    -0.7006     0.0000     5.0013    18.0095    486.277   1138.000 8360161.000    600.000    44.7863   -22.2454   -27.2677   119.9771     2.6000    -2.0000   -52.5081    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    25.9473    29.2154    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     2.0993    32.7002    14.6907     9.9792    10.6300    10.000
      9    -0.8007     0.0000     5.0013    18.0095    486.206   1161.000 8360161.000    600.000    44.7863   -22.2454   -27.2677   119.9771     2.6000    -2.0000   -52.5081    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    21.9375    30.8190    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     2.1687    32.7002    14.6907     9.9885    10.6290    10.000
     10    -0.9007     0.0000     5.0010    18.0095    486.667  24984.000 8360161.000    600.000    44.7863   -22.2454   -27.2677   119.9771     2.6000    -2.0000   -52.5081    25.0000    10.0000    10.0000    25.0000    39.0000    30.0000    30.0000    39.0000    18.1899    32.5469    -1.9995    -7.9990    -0.0010    -0.0010   159.4104   -41.1799     2.2446    32.7002    14.6907     9.8340    10.1120    10.000
