# scan = 23
# date = 9/5/2017
# time = 2:31:03 PM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scan sgu -10 10 1
# builtin_command = scan sgu -10 10 1
# users = Paula Kelley
# local_contact = 
# scan_title = Co-Alignment on post RT 3 0 0 postion
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.975000,5.975000,17.000000,90.000000,90.000000,120.000000
# ubmatrix = -0.193255,-0.096628,0.000000,-0.000000,0.000000,-0.058824,0.000000,-0.167364,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = UB05Sep2017_10850PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = sgu
# def_y = detector
# col_headers = 
#   Pt.        sgu       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbb        bbl        bbr        bbt         s1         s2        sgl        stl        stu         a1         a2          q          h          k          l         ei         ef          e   cold_tip    tsample       temp
      1   -10.0000      1.000    205.000  13516.000      5.147    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000   130.5001    86.2904     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423     0.4394    -0.6008    -9.6946    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      2    -8.9995      1.000  11899.000  13483.000      5.134    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000   130.5001    86.2904     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423     0.4096    -0.5412    -9.7230    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      3    -7.9995      1.000  50566.000  13502.000      5.142    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000   130.5001    86.2904     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423     0.3797    -0.4815    -9.7484    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      4    -6.9995      1.000  78983.000  13725.000      5.227    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000   130.5001    86.2904     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423     0.3498    -0.4216    -9.7708    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      5    -5.9995      1.000  96823.000  13692.000      5.214    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000   130.5001    86.2904     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423     0.3198    -0.3616    -9.7903    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      6    -4.9995      1.000 105021.000  13610.000      5.183    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000   130.5001    86.2904     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423     0.2897    -0.3015    -9.8067    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      7    -3.9995      1.000 106355.000  13570.000      5.168    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000   130.5001    86.2904     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423     0.2596    -0.2413    -9.8202    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      8    -2.9995      1.000  96702.000  13646.000      5.196    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000   130.5001    86.2904     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423     0.2295    -0.1810    -9.8307    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      9    -1.9995      1.000  86340.000  13681.000      5.210    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000   130.5001    86.2904     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423     0.1993    -0.1207    -9.8382    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
     10    -0.9995      1.000  67084.000  13520.000      5.149    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000   130.5001    86.2904     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423     0.1691    -0.0604    -9.8427    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
