# scan = 31
# date = 9/5/2017
# time = 3:10:13 PM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scan sgl -10 10 1
# builtin_command = scan sgl -10 10 1
# users = Paula Kelley
# local_contact = 
# scan_title = Co-alignment on post RT 0 0 6 position
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.975000,5.975000,17.000000,90.000000,90.000000,120.000000
# ubmatrix = -0.008953,-0.004477,-0.058760,0.193048,0.096524,-0.002725,0.000000,-0.167364,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = UB05Sep2017_23318PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = sgl
# def_y = detector
# col_headers = 
#   Pt.        sgl       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbb        bbl        bbr        bbt         s1         s2        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e   cold_tip    tsample       temp
      1    -9.9995      1.000    422.000  13647.000      5.197    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.5001    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.3892    -0.3653     5.8691    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      2    -9.0000      1.000   5039.000  13684.000      5.211    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.5001    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.3713    -0.3291     5.8863    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      3    -8.0000      1.000  28009.000  13754.000      5.238    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.5001    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.3534    -0.2928     5.9017    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      4    -7.0000      1.000  48802.000  13813.000      5.260    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.5001    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.3354    -0.2564     5.9153    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      5    -6.0000      1.000  66043.000  13670.000      5.206    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.5001    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.3173    -0.2199     5.9271    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      6    -5.0000      1.000  86750.000  13546.000      5.158    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.5001    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.2991    -0.1833     5.9371    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      7    -4.0000      1.000 106539.000  14137.000      5.383    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.5001    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.2810    -0.1467     5.9453    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      8    -3.0000      1.000 116959.000  13825.000      5.265    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.5001    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.2627    -0.1101     5.9517    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      9    -1.9995      1.000 121205.000  13823.000      5.264    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.5001    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.2444    -0.0734     5.9562    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
     10    -0.9995      1.000 117088.000  13713.000      5.222    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    39.0000    30.0000    30.0000    39.0000    10.0000    30.0000    30.0000    30.0000    28.5001    49.1997     0.0000    -0.0010     0.0000   159.4104   -41.1799     2.2172     0.2261    -0.0367     5.9590    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
