# scan = 7
# date = 9/5/2017
# time = 1:25:05 PM
# proposal = 19739
# experiment = Separation of phonon and magnetic scattering near the Majorana mode in α-RuCl3: feasibility study
# experiment_number = 600
# command = scan bbb 10 0 2
# builtin_command = scan bbb 10 0 2
# users = Paula Kelley
# local_contact = 
# scan_title = Co-Alignment on post RT 3 0 0 postion
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = RuCl3
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.975000,5.975000,17.000000,90.000000,90.000000,120.000000
# ubmatrix = -0.193255,-0.096628,0.000000,-0.000000,0.000000,-0.058824,0.000000,-0.167364,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = UB05Sep2017_10850PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = bbb
# def_y = detector
# col_headers = 
#   Pt.        bbb       time   detector    monitor        mcu focal_length         m1         m2   mcrystal       marc     mtrans     mfocus        bab        bal        bar        bat        bbl        bbr        bbt         s1         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e   cold_tip    tsample       temp
      1    10.0000      1.000 103237.000  13492.000      5.138    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    35.0000    30.0000    30.0000    35.0000    30.0000    30.0000    25.0000   133.5002    86.2904     0.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423    -0.0181     0.0000    -9.8546    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      2     8.0000      1.000 103491.000  13469.000      5.129    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    35.0000    30.0000    30.0000    35.0000    30.0000    30.0000    25.0000   133.5002    86.2904     0.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423    -0.0181     0.0000    -9.8546    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      3     6.0000      1.000 103836.000  13456.000      5.124    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    35.0000    30.0000    30.0000    35.0000    30.0000    30.0000    25.0000   133.5002    86.2904     0.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423    -0.0181     0.0000    -9.8546    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      4     4.0000      1.000 103408.000  13437.000      5.117    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    35.0000    30.0000    30.0000    35.0000    30.0000    30.0000    25.0000   133.5002    86.2904     0.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423    -0.0181     0.0000    -9.8546    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      5     2.0000      1.000 102648.000  13609.000      5.182    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    35.0000    30.0000    30.0000    35.0000    30.0000    30.0000    25.0000   133.5002    86.2904     0.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423    -0.0181     0.0000    -9.8546    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
      6     0.0000      1.000 102207.000  13635.000      5.192    66.7975   -22.2454   -41.1655   119.9771     2.6000    -2.0000   -34.2897    35.0000    30.0000    30.0000    35.0000    30.0000    30.0000    25.0000   133.5002    86.2904     0.0000     0.0000    -0.0010     0.0000   159.4104   -41.1799     3.6423    -0.0181     0.0000    -9.8546    14.7005    14.6907     0.0098     1.0000     1.0000     1.000
# Sum of Counts = 618827
# Center of Mass = 5.013101+/-0.010001
# Full Width Half-Maximum = 6.821282+/-0.010858
# 1:25:24 PM  9/5/2017   scan completed.
