# scan = 8
# date = 10/22/2003
# time = 9:06:13 PM
# experiment = Alignment and Intensity Checks
# experiment_number = 41
# command = scanrel a2 -1.5 1.5 .1
# builtin_command = scan a2 @(a2)+-1.5 @(a2)+1.5 0.100000
# users = MY
# local_contact = MY
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Sample with lattice params=2*pi
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 6.280000,6.280000,6.280000,90.000000,90.000000,90.000000
# ubmatrix = -0.112597,-0.112597,0.000000,0.000000,0.000000,-0.159236,0.112597,-0.112597,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = 
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = a2
# def_y = detector
# col_headers = 
#   Pt.         a2       time   detector    monitor        mcu         m1         m2         s1         s2        sgl        sgu        stl        stu         a1          q          h          k          l         ei         ef          e       temp    coldtip    tsample
     22    10.6265      1.000    451.000  11731.000      0.102    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000     7.4486    -0.0000    -0.0000    -7.4448    14.7002   211.8841  -197.1840     0.0000     0.0000     0.000
     23    10.7309      1.000    521.000  11779.000      0.102    51.0520   -41.1660     0.0002     0.0027    -0.0055     0.0000     0.0000    -0.0010     0.0000     7.3505     0.0003     0.0003    -7.3468    14.7002   207.7943  -193.0942     0.0000     0.0000     0.000
     24    10.8270      1.000    693.000  11704.000      0.102    51.0520   -41.1660     0.0002     0.0027    -0.0055     0.0000     0.0000    -0.0010     0.0000     7.2619     0.0003     0.0003    -7.2582    14.7002   204.1315  -189.4314     0.0000     0.0000     0.000
     25    10.9287      1.000    789.000  11701.000      0.102    51.0520   -41.1660     0.0002     0.0027    -0.0055     0.0000     0.0000    -0.0010     0.0000     7.1699     0.0003     0.0003    -7.1662    14.7002   200.3641  -185.6639     0.0000     0.0000     0.000
     26    11.0303      1.000    879.000  11660.000      0.101    51.0520   -41.1660     0.0002     0.0027    -0.0055     0.0000     0.0000    -0.0010     0.0000     7.0795     0.0003     0.0003    -7.0759    14.7002   196.7003  -182.0001     0.0000     0.0000     0.000
     27    11.1292      1.000    982.000  11440.000      0.099    51.0520   -41.1660     0.0002     0.0000    -0.0055     0.0000     0.0000    -0.0010     0.0000     6.9932    -0.0000    -0.0000    -6.9897    14.7002   193.2314  -178.5312     0.0000     0.0000     0.000
     28    11.2335      1.000   1081.000  11773.000      0.102    51.0520   -41.1660     0.0002     0.0027    -0.0055     0.0000     0.0000    -0.0010     0.0000     6.9038     0.0003     0.0003    -6.9003    14.7002   189.6687  -174.9685     0.0000     0.0000     0.000
     29    11.3297      1.000   1144.000  11715.000      0.102    51.0520   -41.1660     0.0002     0.0027    -0.0055     0.0000     0.0000    -0.0010     0.0000     6.8229     0.0003     0.0003    -6.8194    14.7002   186.4740  -171.7738     0.0000     0.0000     0.000
     30    11.4313      1.000   1364.000  11584.000      0.101    51.0520   -41.1660     0.0002     0.0027    -0.0055     0.0000     0.0000    -0.0010     0.0000     6.7388     0.0003     0.0003    -6.7354    14.7002   183.1840  -168.4838     0.0000     0.0000     0.000
     31    11.5302      1.000   1563.000  11540.000      0.100    51.0520   -41.1660     0.0002     0.0027    -0.0055     0.0000     0.0000    -0.0010     0.0000     6.6585     0.0003     0.0003    -6.6551    14.7002   180.0661  -165.3659     0.0000     0.0000     0.000
# Sum of Counts = 12214
# Center of Mass = 10.911530+/-0.139737
# Full Width Half-Maximum = 1.220241+/-0.057375
# 9:07:29 PM  10/22/2003   scan completed.
