# scan = 16
# date = 10/22/2003
# time = 9:28:25 PM
# experiment = Alignment and Intensity Checks
# experiment_number = 41
# command = scan s2 46.500000 48.460000 0.049000
# builtin_command = scan s2 46.500000 48.460000 0.049000
# users = MY
# local_contact = MY
# scan_title = Ni Powder (1,1,1)
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Sample with lattice params=2*pi
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 6.280000,6.280000,6.280000,90.000000,90.000000,90.000000
# ubmatrix = -0.112597,-0.112597,0.000000,0.000000,0.000000,-0.159236,0.112597,-0.112597,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = 
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = s2
# def_y = detector
# col_headers = 
#   Pt.         s2       time   detector    monitor        mcu         m1         m2         s1        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
     18    47.3318      1.000  42499.000 105438.000      0.917    51.0520   -28.2535     0.0002    -0.0055     0.0000     0.0000    -0.0010    90.0000     0.0604  1773.1956   922.9052   922.7280 -1199.1057    30.5008 6534326.9677 -6534296.4669     0.0000     0.0000     0.000
     19    47.3813      1.000  43093.000 105259.000      0.915    51.0520   -28.2535     0.0002    -0.0055     0.0000     0.0000    -0.0010    90.0000     0.0604  1773.1981   923.6389   923.4616 -1197.9792    30.5008 6534326.9677 -6534296.4669     0.0000     0.0000     0.000
     20    47.4335      1.000  43503.000 105544.000      0.918    51.0520   -28.2535     0.0002    -0.0055     0.0000     0.0000    -0.0010    90.0000     0.0604  1773.2006   924.4126   924.2351 -1196.7891    30.5008 6534326.9677 -6534296.4669     0.0000     0.0000     0.000
     21    47.4802      1.000  44093.000 105505.000      0.917    51.0520   -28.2535     0.0002    -0.0055     0.0000     0.0000    -0.0010    90.0000     0.0604  1773.2029   925.1042   924.9266 -1195.7234    30.5008 6534326.9677 -6534296.4669     0.0000     0.0000     0.000
     22    47.5323      1.000  43759.000 105102.000      0.914    51.0520   -28.2535     0.0002    -0.0055     0.0000     0.0000    -0.0010    90.0000     0.0604  1773.2055   925.8764   925.6987 -1194.5314    30.5008 6534326.9677 -6534296.4669     0.0000     0.0000     0.000
     23    47.5763      1.000  43546.000 105212.000      0.915    51.0520   -28.2535     0.0002    -0.0055     0.0000     0.0000    -0.0010    90.0000     0.0577  1857.7687   970.6462   970.4599 -1250.5438    30.5008 7171457.2984 -7171426.7976     0.0000     0.0000     0.000
     24    47.6285      1.000  43256.000 105516.000      0.918    51.0520   -28.2535     0.0002    -0.0055     0.0000     0.0000    -0.0010    90.0000     0.0577  1857.7713   971.4537   971.2673 -1249.2931    30.5008 7171457.2984 -7171426.7976     0.0000     0.0000     0.000
     25    47.6752      1.000  42363.000 105356.000      0.916    51.0520   -28.2535     0.0002    -0.0055     0.0000     0.0000    -0.0010    90.0000     0.0604  1773.2126   927.9860   927.8079 -1191.2641    30.5008 6534326.9677 -6534296.4669     0.0000     0.0000     0.000
     26    47.7246      1.000  41838.000 105115.000      0.914    51.0520   -28.2535     0.0002    -0.0055     0.0000     0.0000    -0.0010    90.0000     0.0577  1857.7761   972.9392   972.7524 -1246.9866    30.5008 7171457.2984 -7171426.7976     0.0000     0.0000     0.000
     27    47.7740      1.000  40979.000 105612.000      0.918    51.0520   -28.2535     0.0002    -0.0055     0.0000     0.0000    -0.0010    90.0000     0.0604  1773.2175   929.4431   929.2647 -1188.9977    30.5008 6534326.9677 -6534296.4669     0.0000     0.0000     0.000
     28    47.8235      1.000  39306.000 105828.000      0.920    51.0520   -28.2535     0.0002    -0.0055     0.0000     0.0000    -0.0010    90.0000     0.0604  1773.2200   930.1707   929.9921 -1187.8632    30.5008 6534326.9677 -6534296.4669     0.0000     0.0000     0.000
     29    47.8702      1.000  38340.000 105490.000      0.917    51.0520   -28.2535     0.0002    -0.0055     0.0000     0.0000    -0.0010    90.0000     0.0604  1773.2223   930.8571   930.6784 -1186.7909    30.5008 6534326.9677 -6534296.4669     0.0000     0.0000     0.000
     30    47.9224      1.000  36443.000 106020.000      0.922    51.0520   -28.2535     0.0002    -0.0055     0.0000     0.0000    -0.0010    90.0000     0.0604  1773.2249   931.6236   931.4448 -1185.5915    30.5008 6534326.9677 -6534296.4669     0.0000     0.0000     0.000
     31    47.9691      1.000  34742.000 105119.000      0.914    51.0520   -28.2535     0.0002    -0.0055     0.0000     0.0000    -0.0010    90.0000     0.0604  1773.2272   932.3088   932.1298 -1184.5176    30.5008 6534326.9677 -6534296.4669     0.0000     0.0000     0.000
     32    48.0185      1.000  32729.000 105600.000      0.918    51.0520   -28.2535     0.0002    -0.0055     0.0000     0.0000    -0.0010    90.0000     0.0604  1773.2297   933.0335   932.8544 -1183.3796    30.5008 6534326.9677 -6534296.4669     0.0000     0.0000     0.000
     33    48.0679      1.000  30625.000 105145.000      0.914    51.0520   -28.2535     0.0002    -0.0055     0.0000     0.0000    -0.0010    90.0000     0.0604  1773.2321   933.7576   933.5784 -1182.2407    30.5008 6534326.9677 -6534296.4669     0.0000     0.0000     0.000
     34    48.1174      1.000  28423.000 105285.000      0.916    51.0520   -28.2535     0.0002    -0.0055     0.0000     0.0000    -0.0010    90.0000     0.0604  1773.2346   934.4810   934.3016 -1181.1009    30.5008 6534326.9677 -6534296.4669     0.0000     0.0000     0.000
     35    48.1641      1.000  26690.000 105666.000      0.919    51.0520   -28.2535     0.0002    -0.0055     0.0000     0.0000    -0.0010    90.0000     0.0577  1857.7980   979.6949   979.5069 -1236.3975    30.5008 7171457.2984 -7171426.7976     0.0000     0.0000     0.000
     36    48.2162      1.000  24043.000 105691.000      0.919    51.0520   -28.2535     0.0002    -0.0055     0.0000     0.0000    -0.0010    90.0000     0.0604  1773.2395   935.9257   935.7460 -1178.8187    30.5008 6534326.9677 -6534296.4669     0.0000     0.0000     0.000
     37    48.2629      1.000  21367.000 105690.000      0.919    51.0520   -28.2535     0.0002    -0.0055     0.0000     0.0000    -0.0010    90.0000     0.0577  1857.8029   981.2070   981.0187 -1234.0049    30.5008 7171457.2984 -7171426.7976     0.0000     0.0000     0.000
     38    48.3124      1.000  19026.000 105389.000      0.916    51.0520   -28.2535     0.0002    -0.0055     0.0000     0.0000    -0.0010    90.0000     0.0577  1857.8054   981.9620   981.7735 -1232.8072    30.5008 7171457.2984 -7171426.7976     0.0000     0.0000     0.000
     39    48.3618      1.000  16660.000 105286.000      0.916    51.0520   -28.2535     0.0002    -0.0055     0.0000     0.0000    -0.0010    90.0000     0.0577  1857.8078   982.7162   982.5276 -1231.6086    30.5008 7171457.2984 -7171426.7976     0.0000     0.0000     0.000
     40    48.4113      1.000  14670.000 105518.000      0.918    51.0520   -28.2535     0.0002    -0.0055     0.0000     0.0000    -0.0010    90.0000     0.0604  1773.2493   938.7668   938.5866 -1174.3074    30.5008 6534326.9677 -6534296.4669     0.0000     0.0000     0.000
     41    48.4579      1.000  12515.000 104876.000      0.912    51.0520   -28.2535     0.0002    -0.0055     0.0000     0.0000    -0.0010    90.0000     0.0577  1857.8127   984.1807   983.9918 -1229.2754    30.5008 7171457.2984 -7171426.7976     0.0000     0.0000     0.000
# Sum of Counts = 1282825
# Center of Mass = 47.490832+/-0.059300
# Full Width Half-Maximum = 0.971777+/-0.016629
# 9:30:22 PM  10/22/2003   scan completed.
