# scan = 24
# date = 10/22/2003
# time = 10:59:10 PM
# experiment = Alignment and Intensity Checks
# experiment_number = 41
# command = scanrel a2 -3 3 .2
# builtin_command = scan a2 @(a2)+-3 @(a2)+3 0.200000
# users = MY
# local_contact = MY
# scan_title = Ni Powder (3,1,1) (2,2,2) 
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Sample with lattice params=2*pi
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 6.280000,6.280000,6.280000,90.000000,90.000000,90.000000
# ubmatrix = -0.112597,-0.112597,0.000000,0.000000,0.000000,-0.159236,0.112597,-0.112597,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = 
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = a2
# def_y = detector
# col_headers = 
#   Pt.         a2       time   detector    monitor        mcu         m1         m2         s1         s2        sgl        sgu        stl        stu         a1          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1   -31.2451      1.000      3.000  85952.000      0.747    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -17.7264     1.9252     1.2293     1.2290     0.8253    30.5010    25.0531     5.4479     0.0000     0.0000     0.000
      2   -31.0446      1.000      8.000  86005.000      0.748    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -17.7264     1.9271     1.2370     1.2368     0.8063    30.5010    25.3696     5.1313     0.0000     0.0000     0.000
      3   -30.8469      1.000     19.000  86240.000      0.750    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -17.7264     1.9292     1.2448     1.2445     0.7874    30.5010    25.6879     4.8130     0.0000     0.0000     0.000
      4   -30.6464      1.000     28.000  85968.000      0.748    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -17.7264     1.9317     1.2527     1.2525     0.7679    30.5010    26.0170     4.4840     0.0000     0.0000     0.000
      5   -30.4486      1.000     55.000  86072.000      0.748    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -17.7264     1.9344     1.2606     1.2604     0.7485    30.5010    26.3479     4.1531     0.0000     0.0000     0.000
      6   -30.2454      1.000     74.000  85825.000      0.746    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -17.7264     1.9375     1.2689     1.2687     0.7282    30.5010    26.6948     3.8062     0.0000     0.0000     0.000
      7   -30.0449      1.000    121.000  85843.000      0.746    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -17.7264     1.9408     1.2772     1.2769     0.7080    30.5010    27.0439     3.4570     0.0000     0.0000     0.000
      8   -29.8471      1.000    166.000  86145.000      0.749    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -17.7264     1.9445     1.2855     1.2852     0.6877    30.5010    27.3952     3.1057     0.0000     0.0000     0.000
      9   -29.6494      1.000    197.000  85889.000      0.747    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -17.7264     1.9484     1.2938     1.2936     0.6672    30.5010    27.7535     2.7474     0.0000     0.0000     0.000
     10   -29.4489      1.000    214.000  85721.000      0.745    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -17.7264     1.9528     1.3024     1.3022     0.6461    30.5010    28.1243     2.3767     0.0000     0.0000     0.000
     11   -29.2456      1.000    232.000  85649.000      0.745    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -17.7264     1.9576     1.3113     1.3110     0.6245    30.5010    28.5078     1.9931     0.0000     0.0000     0.000
     12   -29.0424      1.000    263.000  85603.000      0.744    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -17.7264     1.9628     1.3203     1.3200     0.6025    30.5010    28.8995     1.6014     0.0000     0.0000     0.000
     13   -28.8474      1.000    316.000  85926.000      0.747    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -17.7264     1.9681     1.3290     1.3288     0.5811    30.5010    29.2831     1.2178     0.0000     0.0000     0.000
     14   -28.6469      1.000    276.000  85427.000      0.743    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -17.7264     1.9740     1.3381     1.3379     0.5588    30.5010    29.6858     0.8152     0.0000     0.0000     0.000
     15   -28.4464      1.000    306.000  85966.000      0.748    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -17.7264     1.9803     1.3474     1.3471     0.5362    30.5010    30.0969     0.4040     0.0000     0.0000     0.000
     16   -28.2459      1.000    277.000  85475.000      0.743    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -17.7264     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
     17   -28.0481      1.000    243.000  86250.000      0.750    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -17.7264     1.9940     1.3661     1.3658     0.4903    30.5010    30.9399    -0.4390     0.0000     0.0000     0.000
     18   -27.8476      1.000    257.000  85887.000      0.747    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -17.7264     2.0016     1.3757     1.3755     0.4667    30.5010    31.3781    -0.8771     0.0000     0.0000     0.000
     19   -27.6498      1.000    216.000  85833.000      0.746    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -17.7264     2.0095     1.3854     1.3851     0.4431    30.5010    31.8196    -1.3187     0.0000     0.0000     0.000
     20   -27.4466      1.000    219.000  85919.000      0.747    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -17.7264     2.0182     1.3954     1.3952     0.4185    30.5010    32.2834    -1.7825     0.0000     0.0000     0.000
     21   -27.2433      1.000    210.000  85632.000      0.745    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -17.7264     2.0273     1.4056     1.4054     0.3935    30.5010    32.7576    -2.2567     0.0000     0.0000     0.000
     22   -27.0456      1.000    194.000  85922.000      0.747    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -17.7264     2.0367     1.4157     1.4155     0.3688    30.5010    33.2293    -2.7284     0.0000     0.0000     0.000
     23   -26.8451      1.000    179.000  85944.000      0.747    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -17.7264     2.0467     1.4261     1.4258     0.3434    30.5010    33.7183    -3.2173     0.0000     0.0000     0.000
     24   -26.6473      1.000    161.000  85694.000      0.745    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -17.7264     2.0571     1.4365     1.4362     0.3180    30.5010    34.2114    -3.7104     0.0000     0.0000     0.000
     25   -26.4468      1.000    117.000  85916.000      0.747    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -17.7264     2.0682     1.4472     1.4469     0.2918    30.5010    34.7227    -4.2217     0.0000     0.0000     0.000
     26   -26.2463      1.000    100.000  85618.000      0.745    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -17.7264     2.0798     1.4581     1.4578     0.2652    30.5010    35.2457    -4.7447     0.0000     0.0000     0.000
     27   -26.0458      1.000     67.000  86073.000      0.748    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -17.7264     2.0921     1.4691     1.4688     0.2382    30.5010    35.7809    -5.2799     0.0000     0.0000     0.000
     28   -25.8481      1.000     28.000  86177.000      0.749    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -17.7264     2.1047     1.4801     1.4798     0.2111    30.5010    36.3210    -5.8200     0.0000     0.0000     0.000
     29   -25.6503      1.000     18.000  85912.000      0.747    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -17.7264     2.1179     1.4913     1.4911     0.1837    30.5010    36.8736    -6.3726     0.0000     0.0000     0.000
     30   -25.4471      1.000      8.000  85995.000      0.748    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -17.7264     2.1322     1.5031     1.5028     0.1550    30.5010    37.4551    -6.9541     0.0000     0.0000     0.000
     31   -25.2466      1.000      3.000  85997.000      0.748    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -17.7264     2.1468     1.5148     1.5145     0.1263    30.5010    38.0425    -7.5415     0.0000     0.0000     0.000
# Sum of Counts = 4575
# Center of Mass = -28.274138+/-0.591408
# Full Width Half-Maximum = 2.293874+/-0.210329
# 11:00:35 PM  10/22/2003   scan completed.
