# scan = 14
# date = 10/22/2003
# time = 9:17:07 PM
# experiment = Alignment and Intensity Checks
# experiment_number = 41
# command = scan a2 -3.5 4.5 .25
# builtin_command = scan a2 -3.5 4.5 .25
# users = MY
# local_contact = MY
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Sample with lattice params=2*pi
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 6.280000,6.280000,6.280000,90.000000,90.000000,90.000000
# ubmatrix = -0.112597,-0.112597,0.000000,0.000000,0.000000,-0.159236,0.112597,-0.112597,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = 
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = a2
# def_y = detector
# col_headers = 
#   Pt.         a2       time   detector    monitor        mcu         m1         m2         s1         s2        sgl        sgu        stl        stu         a1          q          h          k          l         ei         ef          e       temp    coldtip    tsample
     22     1.7496      1.000  50604.000    565.000      0.005    51.0520   -41.1660     0.0002    -0.6949    -0.0055     0.0000     0.0000    -0.0010    90.0000    58.6698    -0.5259    -0.5258   -58.6353    14.7002  7794.8090 -7780.1089     0.0000     0.0000     0.000
     23     1.9968      1.000  44908.000    539.000      0.005    51.0520   -41.1660     0.0002    -0.6949    -0.0055     0.0000     0.0000    -0.0010    90.0000    51.0776    -0.4608    -0.4607   -51.0475    14.7002  5984.4707 -5969.7705     0.0000     0.0000     0.000
     24     2.2467      1.000  38967.000    500.000      0.004    51.0520   -41.1660     0.0002    -0.6949    -0.0055     0.0000     0.0000    -0.0010    90.0000    45.0997    -0.4095    -0.4095   -45.0732    14.7002  4727.1530 -4712.4528     0.0000     0.0000     0.000
     25     2.4966      1.000  33244.000    505.000      0.004    51.0520   -41.1660     0.0002    -0.6949    -0.0055     0.0000     0.0000    -0.0010    90.0000    40.3188    -0.3685    -0.3685   -40.2950    14.7002  3828.1732 -3813.4730     0.0000     0.0000     0.000
     26     2.7438      1.000  27375.000    505.000      0.004    51.0520   -41.1660     0.0002    -0.6949    -0.0055     0.0000     0.0000    -0.0010    90.0000    36.4472    -0.3353    -0.3353   -36.4256    14.7002  3169.5868 -3154.8866     0.0000     0.0000     0.000
     27     2.9993      1.000  22056.000    519.000      0.005    51.0520   -41.1660     0.0002    -0.6949    -0.0055     0.0000     0.0000    -0.0010    90.0000    33.1170    -0.3068    -0.3067   -33.0974    14.7002  2652.8001 -2638.0999     0.0000     0.0000     0.000
     28     3.2492      1.000  16905.000    520.000      0.005    51.0520   -41.1660     0.0002    -0.6949    -0.0055     0.0000     0.0000    -0.0010    90.0000    30.3654    -0.2832    -0.2831   -30.3473    14.7002  2260.4637 -2245.7635     0.0000     0.0000     0.000
     29     3.5019      1.000  11438.000    542.000      0.005    51.0520   -41.1660     0.0002    -0.6949    -0.0055     0.0000     0.0000    -0.0010    90.0000    27.9828    -0.2628    -0.2627   -27.9661    14.7002  1946.1014 -1931.4012     0.0000     0.0000     0.000
     30     3.7463      1.000   7671.000    574.000      0.005    51.0520   -41.1660     0.0002    -0.6949    -0.0055     0.0000     0.0000    -0.0010    90.0000    25.9838    -0.2456    -0.2456   -25.9683    14.7002  1700.5000 -1685.7998     0.0000     0.0000     0.000
     31     4.0018      1.000   4647.000    487.000      0.004    51.0520   -41.1660     0.0002    -0.6949    -0.0055     0.0000     0.0000    -0.0010    90.0000    24.1559    -0.2300    -0.2299   -24.1415    14.7002  1490.4180 -1475.7178     0.0000     0.0000     0.000
     32     4.2435      1.000   2731.000    502.000      0.004    51.0520   -41.1660     0.0002    -0.6949    -0.0055     0.0000     0.0000    -0.0010    90.0000    22.6290    -0.2169    -0.2168   -22.6155    14.7002  1325.5381 -1310.8379     0.0000     0.0000     0.000
     33     4.4989      1.000   1369.000    490.000      0.004    51.0520   -41.1660     0.0002    -0.6949    -0.0055     0.0000     0.0000    -0.0010    90.0000    21.1937    -0.2046    -0.2045   -21.1810    14.7002  1179.3589 -1164.6588     0.0000     0.0000     0.000
# Sum of Counts = 1170138
# Center of Mass = 0.390273+/-0.001509
# Full Width Half-Maximum = 3.071483+/-0.002713
# 9:18:35 PM  10/22/2003   scan completed.
