# scan = 6
# date = 10/22/2003
# time = 6:54:15 PM
# experiment = Alignment and Intensity Checks
# experiment_number = 41
# command = scanrel s2 -2 2 .1
# builtin_command = scan s2 @(s2)+-2 @(s2)+2 0.100000
# users = MY
# local_contact = MY
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Sample with lattice params=2*pi
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 6.280000,6.280000,6.280000,90.000000,90.000000,90.000000
# ubmatrix = -0.112597,-0.112597,0.000000,0.000000,0.000000,-0.159236,0.112597,-0.112597,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = 
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = s2
# def_y = detector
# col_headers = 
#   Pt.         s2       time   detector    monitor        mcu         m1         m2         s1        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
     22    -0.6262      1.000  72618.000  73975.000      0.643    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0480    -0.0828    -0.0827    -8.0431    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     23    -0.5273      1.000  69504.000  74013.000      0.644    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0479    -0.0697    -0.0697    -8.0432    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     24    -0.4285      1.000  62752.000  73836.000      0.642    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0479    -0.0566    -0.0566    -8.0434    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     25    -0.3268      1.000  51851.000  73426.000      0.638    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0432    -0.0432    -8.0435    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     26    -0.2280      1.000  38607.000  74371.000      0.647    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0301    -0.0301    -8.0436    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     27    -0.1291      1.000  26119.000  73675.000      0.641    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0171    -0.0171    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     28    -0.0275      1.000  15583.000  73762.000      0.641    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478    -0.0036    -0.0036    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     29     0.0714      1.000   8890.000  73453.000      0.639    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478     0.0094     0.0094    -8.0437    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     30     0.1703      1.000   4781.000  73921.000      0.643    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478     0.0225     0.0225    -8.0436    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     31     0.2719      1.000   2420.000  73677.000      0.641    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0478     0.0359     0.0359    -8.0436    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     32     0.3735      1.000   1484.000  73439.000      0.639    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0479     0.0493     0.0493    -8.0435    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     33     0.4724      1.000   1049.000  73839.000      0.642    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0479     0.0624     0.0624    -8.0433    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     34     0.5713      1.000    942.000  73916.000      0.643    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0480     0.0755     0.0755    -8.0432    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     35     0.6702      1.000   1002.000  73751.000      0.641    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0480     0.0885     0.0885    -8.0430    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     36     0.7718      1.000    992.000  74109.000      0.644    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0481     0.1020     0.1019    -8.0427    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     37     0.8707      1.000   1069.000  74306.000      0.646    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0482     0.1150     0.1150    -8.0425    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     38     0.9723      1.000   1066.000  73099.000      0.636    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0483     0.1284     0.1284    -8.0422    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     39     1.0712      1.000   1084.000  73649.000      0.640    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0484     0.1415     0.1415    -8.0418    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     40     1.1728      1.000   1072.000  73650.000      0.640    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0485     0.1549     0.1549    -8.0415    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
     41     1.2717      1.000   1212.000  73619.000      0.640    51.0399   -41.1660     0.0002    -0.0055     0.0000     0.0000    -0.0010     0.0000    10.0305     8.0486     0.1680     0.1680    -8.0411    14.7002   237.7380  -223.0378     0.0000     0.0000     0.000
# Sum of Counts = 796878
# Center of Mass = -0.721990+/-0.001244
# Full Width Half-Maximum = 0.874311+/-0.001240
# 6:55:59 PM  10/22/2003   scan completed.
