# scan = 23
# date = 10/22/2003
# time = 10:56:16 PM
# experiment = Alignment and Intensity Checks
# experiment_number = 41
# command = scanrel a1 -2 2 .1
# builtin_command = scan a1 @(a1)+-2 @(a1)+2 0.100000
# users = MY
# local_contact = MY
# scan_title = Ni Powder (3,1,1) (2,2,2) 
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Sample with lattice params=2*pi
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 6.280000,6.280000,6.280000,90.000000,90.000000,90.000000
# ubmatrix = -0.112597,-0.112597,0.000000,0.000000,0.000000,-0.159236,0.112597,-0.112597,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = 
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = a1
# def_y = detector
# col_headers = 
#   Pt.         a1       time   detector    monitor        mcu         m1         m2         s1         s2        sgl        sgu        stl        stu         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1   -20.0006      1.000      2.000  85703.000      0.745    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
      2   -19.9017      1.000      2.000  85575.000      0.744    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
      3   -19.8001      1.000      2.000  86226.000      0.750    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
      4   -19.7012      1.000      6.000  85930.000      0.747    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
      5   -19.5996      1.000      1.000  85910.000      0.747    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
      6   -19.5007      1.000      6.000  85776.000      0.746    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
      7   -19.4019      1.000      0.000  85720.000      0.745    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
      8   -19.3002      1.000      4.000  86085.000      0.749    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
      9   -19.2014      1.000      7.000  85783.000      0.746    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
     10   -19.1025      1.000      9.000  85770.000      0.746    51.0520   -28.2534     0.0002    30.0115    -0.0055     0.0000     0.0000    -0.0010   -28.2459     1.9870     1.3567     1.3565     0.5133    30.5010    30.5169    -0.0159     0.0000     0.0000     0.000
